macrophages	mast	B.naive	B.memory	plasma	T.CD4.naive	T.CD4.memory	T.CD8.naive	T.CD8.memory	NK	pDCs	mDCs	monocytes.C	monocytes.NC.I	neutrophils	Treg	endothelial.cells	fibroblasts	ROI	segment	class
0.0284149679809672	0.00218610134283885	0.0118017289130351	0	0.117511266741716	0.0998156393876988	0	0.18692973652405	0	0.0259903651975132	0.00235813239460842	0	0	0.0466419528898066	0.0408397455640486	0.0378574958232837	0.33275231811774	0.066900549122694	DSP-1001250007851-H-A02.dcc	Geometric Segment	DKD
0.0270164764155969	0.00144327437001864	0.00844380176911446	0	0.0636001779632412	0.184497668423295	0	0.17349883169738	0	0.041102978622395	0	0	0	0.143063446234612	0.0808123013717704	0	0.224218975909283	0.0523020672232938	DSP-1001250007851-H-A03.dcc	Geometric Segment	DKD
0.0252495384307255	0.00182970620322605	0.0397326276332325	0	0.0472984736355689	0.193130962610081	0	0.155660290306274	0	0.0440119477388649	0	0	0	0.0552942052978647	0.106666136842663	0	0.274244520279433	0.056881591022066	DSP-1001250007851-H-A04.dcc	Geometric Segment	DKD
0.0309582868923945	0.00146384316389076	0.0468469084485394	0	0.0632342823517095	0.092454843770309	0	0.168147318173645	0	0.0337984866355515	0	0	0	0.0862929467873075	0.0720975458594194	0.0293416412786761	0.320518667582285	0.0548452290562719	DSP-1001250007851-H-A05.dcc	Geometric Segment	DKD
0.0226293669801912	0.00212937501656954	0.0288208841143235	0.0191849054454599	0.0869258626316147	0.152938918422556	0	0.166089438123813	0	0.0275623876959418	0	0	0	0.069913431951671	0.0465050545151864	0	0.348343596550372	0.028956778552301	DSP-1001250007851-H-A06.dcc	Geometric Segment	DKD
0.0180130876018086	0.00153690871538192	0.0517764973749636	0	0.0670735728397817	0.208306347898068	0	0.0645983918617001	0	0.0527331020481351	0	0	0	0.0475308744825251	0.0679500491322308	0.025572398172846	0.305194979564428	0.089713790308131	DSP-1001250007851-H-A07.dcc	Geometric Segment	DKD
0.0239543821176072	0.00115498410777674	0.0260880129892649	0.00759638520491774	0.0797267321946012	0.164095673588834	0	0.12969531168198	0	0.0331442293901706	0	0	0	0.0605057684018392	0.0930705783304442	0.000959455208436759	0.34030364439249	0.0397048423916371	DSP-1001250007851-H-A08.dcc	Geometric Segment	DKD
0.0109815104369357	0.00227384172589312	0.0246873426220424	0	0.0746768906897173	0.270888166982731	0	0.166668342133965	0	0.0298748959914045	0	0	0	0.0706476497679998	0.0793856151899922	0	0.208913859740899	0.0610018847184201	DSP-1001250007851-H-A09.dcc	Geometric Segment	DKD
0.0225097500677714	0.00095032696509477	0.0212508661578919	0	0.08762282693609	0.258090768987009	0	0.0533411477811074	0	0.0190922309799064	0	0	0	0.0747589636235528	0.0900735621610645	0	0.300955863466656	0.0713536928738553	DSP-1001250007851-H-A10.dcc	Geometric Segment	DKD
0.0250304377264019	0.000763722888614127	0.0517441688502704	0	0.0843180643486423	0.0982689746176278	0	0.241188411145838	0	0.0306448783772794	0.00140751266833802	0	0	0.0580843179427178	0.0742494780008328	0.0115003691398781	0.294388996053493	0.0284106682400656	DSP-1001250007851-H-A11.dcc	Geometric Segment	DKD
0.0457074218632929	0.00250777497632383	0.000354980443496589	0	0.0998133630120898	0.23270161155987	0	0.186068823775659	0	0.058322764331785	0	0	0	0.0737617286463448	0.05156152319726	0	0.206979507655312	0.0422205005385661	DSP-1001250007851-H-A12.dcc	Geometric Segment	DKD
0.0329205075111384	0.00153807759299823	0.0336425529688471	0	0.0818821975334948	0.145062547122977	0	0.223678046639941	0	0.0282513623634784	0.00322535310021054	0	0	0.0426336138983618	0.067932062458339	0.0408631351136522	0.279687937598768	0.0186826060977936	DSP-1001250007851-H-B01.dcc	Geometric Segment	DKD
0.0151288346729528	0.00130216009791992	0	0.0156155592559726	0.092257777269615	0.111915241133921	0	0.206186703421249	0	0.0186856661075212	1.47843052241539e-05	0	0	0.13487305490799	0.0917554091940344	0	0.280898937680226	0.031365871953374	DSP-1001250007851-H-B02.dcc	Geometric Segment	DKD
0.0114844560874876	0.000912702825777151	0.0371979135070062	0.00627346194302491	0.0907168345987522	0.036591335599476	0	0.31709728513885	0	0.0464203695035454	0	0	0	0.0533179981641839	0.098592105790092	0	0.26479917069373	0.0365963661480742	DSP-1001250007851-H-B03.dcc	Geometric Segment	DKD
0.0138351799592223	0.00195705509905927	0.0165825696158199	0	0.105137685745597	0.117944312904621	0	0.233009535172026	0	0.0223436783910784	0.00216198788122845	0	0	0.0914463062409379	0.0893551092769306	0	0.261677889667072	0.0445486900464084	DSP-1001250007851-H-B04.dcc	Geometric Segment	DKD
0.0123840552941317	0.00160092783055548	0.0351074391520298	0	0.0869799830742512	0.151978576314314	0.00174253723171479	0.145077510999126	0	0.0330698289707411	0.00121032824163785	0	0	0.0920202587444267	0.142965136448714	0	0.267436724317355	0.0284266933810017	DSP-1001250007851-H-B05.dcc	Geometric Segment	DKD
0.0204203879107982	0.000666216611661906	0.0192420145658184	0	0.112361808243914	0.0926230341014588	0	0.263956956679283	0	0.0325530608777396	0	0	0	0.0472789860319029	0.118799596951184	0	0.257117778070675	0.0349801599555635	DSP-1001250007851-H-B06.dcc	Geometric Segment	DKD
0.0244706389548637	0.0012614834461984	0.039256149128297	0	0.0868439250048152	0.0933205383760852	0	0.197397869551913	0	0.0533763543836395	0	0	0	0.0531650316912382	0.147772143239088	0	0.278778424150939	0.0243574420729234	DSP-1001250007851-H-B07.dcc	Geometric Segment	DKD
0.0325123925528323	0.00198224141641459	0.0153860836674825	0	0.0997081712469667	0.0874904077784962	0	0.266250048036209	0	0.0206143555739369	0	0	0	0.0724597221418796	0.0441041866842744	0.0131203191322008	0.288770554114347	0.0576015176549595	DSP-1001250007851-H-B08.dcc	Geometric Segment	DKD
0.026095931286829	0.00342497508192811	0.01250197451468	0	0.132871179511706	0.211549989270367	0	0.142729293732875	0	0.0375630589276687	0	0	0	0.0689668501719591	0.0849040187552554	0	0.220134339497415	0.0592583892493172	DSP-1001250007851-H-B09.dcc	Geometric Segment	DKD
