PC	percentVar
PC1	53.599853860571
PC2	8.93691419567455
PC3	6.39395437891997
PC4	5.47953943379394
PC5	2.35113320832409
PC6	1.91140278630703
PC7	1.44778759052924
PC8	1.36483050993476
PC9	1.26569129377312
PC10	0.83492360042511
PC11	0.72053028111231
PC12	0.68780822119424
PC13	0.588623706789879
PC14	0.558810734384015
PC15	0.466753294762132
PC16	0.451725801896009
PC17	0.404041297767105
PC18	0.369359905073941
PC19	0.32794966993671
PC20	0.303547528057799
PC21	0.276862109956013
PC22	0.269135712951058
PC23	0.252248636544568
PC24	0.247913493580506
PC25	0.229247299301938
PC26	0.225396155488787
PC27	0.214533099729659
PC28	0.208991812145645
PC29	0.197822800776284
PC30	0.189439797641827
PC31	0.182852084532679
PC32	0.182294586602907
PC33	0.175495855233386
PC34	0.170854271780676
PC35	0.168590657345199
PC36	0.16450885446129
PC37	0.155239613419552
PC38	0.152784330592912
PC39	0.151554140164343
PC40	0.146465538440714
PC41	0.142701397939702
PC42	0.138946918118574
PC43	0.136298673995352
PC44	0.135363741304588
PC45	0.129337943871348
PC46	0.127821330278015
PC47	0.125698712365405
PC48	0.122450547497077
PC49	0.119654520561
PC50	0.116020730331686
