SampleID	UMAP1	UMAP2	class	Segment	Scan	Patient
DSP-1001250007851-H-E02.dcc	10.0874334258853	1.45008819058256	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E03.dcc	12.9682403487979	2.26898066952543	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E04.dcc	9.96103152464021	1.49188773587065	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E05.dcc	11.8690877837955	2.14206950619536	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E06.dcc	10.1674791259586	1.50493447735624	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E07.dcc	12.9839750213443	2.26880662396269	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E08.dcc	10.3514171523868	1.62723891690092	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E09.dcc	11.867913810712	2.06935756161528	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E10.dcc	10.4236608428775	1.70674388363676	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E11.dcc	11.8070894164859	2.14877192929106	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E12.dcc	10.3607526702701	1.68829362347441	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-F01.dcc	-4.19042530824553	1.23438136532622	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F02.dcc	-4.0205825882138	1.05909697964506	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F03.dcc	-4.20056143571746	1.24465434506254	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F04.dcc	-4.23177519609343	1.27733724072294	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F05.dcc	-4.19609823991668	1.24028794720488	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F06.dcc	-3.96881666948211	1.00070970013457	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F07.dcc	-3.96970263292205	1.00429456188994	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F08.dcc	-3.95656719972503	0.987731623199751	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F09.dcc	-4.24016037752044	1.28638141110258	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F10.dcc	-4.21178332139861	1.25652282193022	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F11.dcc	-4.16936817933928	1.21323697522001	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F12.dcc	-3.94260493089568	0.974488901642133	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007864-D-A02.dcc	13.5883651656925	1.74995677426176	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A03.dcc	9.30345019529451	1.2245189423831	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-A04.dcc	13.4756694717227	1.64036385968046	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A05.dcc	9.23719653318513	1.14295308544951	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-A06.dcc	13.7648340148746	1.88664405300932	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A07.dcc	9.25721320341218	1.0698558564456	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-A08.dcc	13.5847898406802	1.72284047558623	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A09.dcc	9.28263816068757	1.22477261975126	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-A10.dcc	13.4946657104312	1.65264193966704	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-B01.dcc	9.33774432371247	1.23891036465483	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-B02.dcc	-5.2805694656552	-12.5182331328122	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B03.dcc	-5.29224530031096	-12.4940984968869	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B04.dcc	-4.50128022004973	-12.6749552015988	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B05.dcc	-5.17468300630462	-12.6212833647458	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B06.dcc	-5.52781763841521	-11.8934553389279	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B07.dcc	-5.47495594789397	-11.9195745711057	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B08.dcc	-5.42490998079192	-12.2486274962155	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B09.dcc	-5.3211492614926	-12.228582215759	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B10.dcc	-5.63311901857268	-12.0420511488645	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B11.dcc	-5.30871907045256	-11.9793880705564	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-B12.dcc	-5.5272268371762	-12.2123401884763	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C01.dcc	-4.60947314073455	-12.4098766569821	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C02.dcc	-5.33283749391448	-11.967861009094	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C03.dcc	-4.76538220216643	-12.0725458388059	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C04.dcc	-4.41935053636443	-12.112745118591	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C05.dcc	-4.55832043458831	-12.7025383238523	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C06.dcc	-4.44602623750579	-12.6959141020505	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C07.dcc	-4.78157368471038	-13.0178430800168	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C08.dcc	-4.91371813585173	-12.9769256834714	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-C12.dcc	-4.29463616182219	-12.8661974196164	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D01.dcc	-4.65203371812713	-12.5507629637448	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D02.dcc	-4.44569626619231	-12.6373937849729	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D03.dcc	-4.61121884157073	-12.7880609755246	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D04.dcc	-4.86873379518401	-12.4392307524411	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D05.dcc	-4.57141867448699	-12.871157479736	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D06.dcc	-5.03835860063445	-12.7135723356931	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D07.dcc	-4.37349930574309	-12.5766237501828	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D08.dcc	-4.61993447114837	-12.0934341673581	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D09.dcc	-4.97174111177337	-12.0103042845456	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D10.dcc	-4.8137520866574	-12.4791010145871	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-D11.dcc	-4.93041125108611	-12.8989065413205	normal	Geometric Segment	Scan_03	Pt_03
