SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	class	Segment	Scan	Patient
DSP-1001250007851-H-A02.dcc	10.3481524114223	-5.93019252854522	5.42384721272966	-1.62204058116154	2.66919636005911	0.395736980823953	2.05735953462696	1.5135662147767	2.14673876011633	-1.88575336404658	0.686008640158091	-0.894565927829626	4.21014894253319	1.3131617236056	0.989326681076403	0.7808027808345	1.60254996347251	-1.00552478446373	-0.615116487568841	0.202115517929711	-0.371485766339098	-0.054834238495632	0.214975322415758	-0.464527425644233	0.764877302199618	-0.809155038485238	0.753062121922766	-1.02930966692105	-0.141546486760754	1.66468411829511	-0.0851250443767184	0.310765693179554	0.00486152225677295	-0.507951372810734	0.107598544244329	0.047902406198462	0.285262481498166	0.303495807411974	0.312300676792677	0.71284229557666	-0.921776889035353	-0.241546810416596	1.03051181743165	-0.333271231623409	0.332082759308219	-0.0827040642025339	-1.66520912378552	0.615446734008275	0.132809269872349	-0.326526397469989	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A03.dcc	14.4503187751155	-5.77275371761096	4.95281240562541	-1.76003767954871	2.41116671775758	0.785348149783946	-0.258331898632247	1.07705024126299	1.22408085636542	2.89866032359642	-0.940589649887993	1.1082221699119	-0.0856068919619294	-1.04676137282186	2.70778976529323	0.22765506797463	0.199252255041705	0.286835659907741	-0.212586375744082	0.983593881708701	0.466786828911068	-0.371861985355424	-1.18284701393703	-0.827210372478477	0.572144198278463	-0.0485234517706509	-0.549923902939986	0.0229544194381833	0.132127195662609	-0.417788056693437	0.556437255448906	0.114984660286024	1.28782846879744	0.405549773739663	-0.917063916270578	0.491041859106444	-0.0934733910353326	-0.724832694749294	1.10397259376443	-1.23004735803465	0.308383658168447	-0.31950240734845	-0.0233870498852676	-0.00200385540716973	0.331614645510151	-1.02990237275498	0.352318903341379	-0.485947889719442	-0.680329378021521	0.0493109418849911	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A04.dcc	14.7691593632745	-5.63321884573256	5.58047239130532	-2.58186469441044	3.38484626181765	-0.0296501905385217	1.50318636305574	2.75211778814076	2.25783103537842	1.52825731137501	-0.535034796933138	0.1299244341718	1.01394164935684	-1.25590772861668	0.21378771099906	0.975952701993287	-1.57905123462162	0.332485604089272	1.37075735347397	1.11517750275052	-1.5991372841647	0.53906220569739	0.0606873600687619	-0.0497880021778919	0.720826978949647	-0.516717840032937	-0.102053584998828	-1.40885336794055	0.472060850608101	1.11005637930088	-0.481981349054202	-0.598614697205147	1.00921661619786	0.632389425053844	-0.16541907080173	0.467722075566513	0.590038779478048	0.00922059301877053	-0.498360195460428	0.319668759360486	-0.583597699824876	0.315060419563324	-0.617785724461965	-0.0954007327027802	-0.93836947223643	-1.54577833145363	1.1230389788067	1.25606842092171	0.36457369147496	0.426824814581394	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A05.dcc	13.9539715948878	-5.43395601221134	5.73349926074077	-2.11815778245731	2.24654216963525	0.117214750789079	0.470255776772928	1.69498075445738	2.28068632493354	0.608308142844707	-1.01566639750292	1.13484053534453	-0.522849738393919	-0.284475557046783	0.0527594559302448	-0.0845994068699057	0.086986935373019	-0.136208252692175	1.06722432820892	0.924508129841459	-0.231356321024865	0.0626816944488269	0.044304809420005	-0.554003662534092	-0.047699926360673	-0.764938857822937	-0.166508176931452	0.380494624610166	1.06470933403296	0.643621316425117	-0.326745162150188	0.114155934337149	-0.383592224024651	-0.221919425611403	-0.0022274080479775	0.48538039997923	-0.185684222243449	-1.22673771927462	-0.00263196041769364	-0.450478906408627	-0.288724240197426	0.363013307255815	-0.00724094341693245	0.187427094016065	-0.463960632102888	-0.930901127655947	-1.05929843995927	0.130940533937307	0.466917994951025	0.529230589221795	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A06.dcc	12.6764667991242	-5.82652936951692	5.6476413321804	-1.7036178736496	3.02514919945039	0.109190924947542	0.911717152811961	2.27642218043669	4.02218151477529	-0.784313479347661	-1.11641219372219	0.262061226150267	1.31143485916883	0.423269351395993	-1.5107953050851	0.927888754874619	-0.73440723066246	0.237969516294511	1.57789183904817	-0.0787210573071075	-1.04818939304616	0.327037067928604	0.380067121035677	-0.00899889237533505	-0.324095785562223	-1.00771665585083	0.224726936255691	-0.544426191423925	-0.409684534160388	1.40994006046734	-0.0355944834812081	-1.31832964363134	-0.102903206732644	-0.521091920548968	0.155770796704529	0.29451429568691	0.160664612325413	0.868023606779093	0.457834536514357	0.382028554084704	-0.423670089989106	-0.335798361761458	0.282441541018963	0.376780370525802	-0.538416445614004	-1.21964779879484	0.567699296962704	0.385517592714644	-0.067315181815231	-0.443740821474759	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A07.dcc	10.9833490519362	-7.31215527933179	7.64965643661855	-1.38120493267631	2.23427200420956	-0.135931248216794	0.602881847252798	0.727786494939054	1.24743930855835	1.00144952416649	1.18206652472466	-0.00324322069931265	2.16999915007963	-0.749774786853864	1.77470769279719	-0.528663830449253	0.710669274580125	-0.0585479495276205	-0.11077573373446	1.10054461536848	-1.91917639387229	0.172292093370075	-0.57197340433865	-0.814440072342641	0.299282437838841	0.114224174669033	1.15861494654883	-1.87663379169824	0.314215453048545	1.85479752628799	0.550135908954597	0.0115562461122818	-0.336897891566001	-0.453852206372261	-1.261924690374	1.69940768338135	-0.166487871426171	-0.385097601658824	1.46576945696845	2.09331388931392	-0.0489646105263815	-0.654507225572629	-0.377102532059327	0.27831895684901	0.107489764183517	-1.3820075945018	2.17849089775749	0.60351369914279	-0.676654429181781	-0.91975660874186	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A08.dcc	12.5208588291059	-6.61450481024991	6.52840355942052	-1.76393882224984	2.25338088575679	-0.563374866230367	2.60343813791422	1.99438252585177	2.17655634341023	-1.5616602870448	0.327891217328437	-0.322109593094005	0.243072379224807	-0.57369462213777	-0.565481871817679	0.233333532997753	0.0402140929872272	-0.803352034246028	0.366034656331665	-0.222137095015287	0.219417524314266	0.0322747914462014	0.248372989903937	0.300286484776578	-0.0652620922015525	-0.902622452478047	0.666898938433427	-0.326569281421984	0.0634874208841396	1.10745740421778	-0.146603079784845	-0.0363768051671145	0.0445169507292432	0.283110369412534	0.0313738770167893	-0.0765616438138402	0.597156468761606	0.75301889215635	0.0657912033260838	0.197241066237268	-0.489080205320952	-0.193500260925724	-0.105724902305568	0.215734580621109	-0.0615083064069528	-0.263366066274967	-0.086750918339718	0.571845082260175	0.24318327702422	-0.419901245612541	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A09.dcc	16.7071316922384	-4.9869706638679	1.95305304307681	-3.2409747784994	1.30099420043505	0.898074714162693	-1.41260649642875	-0.685323978254971	0.629540716459781	2.33305845749536	-0.596636418152957	1.81494599696669	-4.09874125086431	-2.13704923143439	3.54173670054235	0.325716250425165	0.829785514063654	0.878729126832708	-0.380084563307784	0.691153378595032	1.34794722439494	-0.978845769440821	-0.317456372418135	0.681782024865505	0.560226394681975	0.463238332175632	0.334493267401772	2.45155579914072	0.28407356202865	0.0142078884259213	0.105351090468057	0.498316265210526	1.40785799237182	0.686101477830532	-0.267319588948176	1.8543309314577	1.55587499201487	-0.151781057164206	-0.551862365135921	-1.45938178806283	0.352619662809735	0.37035362690086	-1.13043629421737	0.929110502470847	0.6253506305471	-0.257552973002526	-0.192820743907987	0.33593159755026	-0.161738701528062	-0.531048432613317	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A10.dcc	16.5831264246685	-5.40444850375993	4.4360111418499	-1.79340686859923	2.61998341327324	0.0964255514374266	-0.0605554344778131	0.626954772737912	1.4324672043991	3.27118857723791	-0.59017910457637	1.28513179967696	-0.913276404629747	-1.32679506229119	1.16405702467328	-0.199466861891488	-0.290414698159914	0.198672824945526	0.757599353407299	0.971451756393305	-0.649246437521447	-0.0475697992774639	-0.641283627894816	-0.377990330920952	1.23506528682585	-0.0832200678064573	-0.711789473434484	-0.905781737016508	0.640665969153044	-0.433418181828617	0.271949493615003	0.828673741316722	0.519985422589522	0.193136946954016	-0.617904605720444	0.677241015721753	0.108505504487126	-0.193460276596341	0.207146833387465	-0.399964258463833	0.073064152283755	-0.65868943586331	-0.467000453572091	-0.294493422412653	0.0110830033084903	-0.523894514372502	0.680592020241718	0.288120386212955	-0.497980826395766	0.453290883884668	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A11.dcc	11.0014306348581	-6.68299487270035	7.69094050950274	-2.02714631857373	2.57854263575676	-0.0156883180048761	2.46024688662424	2.05741531288178	2.32997583921867	-1.06876753925348	0.204104158383548	-1.05669472045765	2.91013646397279	0.765219943298276	0.135995262611824	0.25558110269319	0.0886932693539329	-0.566986706044543	0.062228506296445	-0.234241198297918	-0.369261206676955	0.62871695641214	-0.0390484838275767	-0.99952890057557	-0.350548732616941	-0.58895552877257	0.431694214629992	-0.702905451659579	0.00962515428780731	0.223044323789237	-0.349922658516682	0.270727329052751	-0.0126164489851462	0.518488799668764	-0.0444347461539063	0.511178674077882	-0.0467919867552887	1.0746140898375	-0.52339690801921	0.250713374935756	-0.500628040219015	0.346776289530596	0.285983155209322	-0.786771279767507	0.320292604276449	0.234224404362849	-0.448863790115054	-0.187825076610392	-0.120800681229516	-0.150169197908882	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A12.dcc	13.0469599053294	-5.64634017655335	4.34470950986979	-2.44912037892296	2.02700802505815	0.0127967189708307	1.8437750525368	-0.0218767570116762	1.25846261210529	0.399514136791898	0.397371463235808	0.198564238718652	0.609866693552938	-0.442946752860387	2.18735336034476	-0.529537178143478	1.0027643250291	0.137344941106335	-0.298289953941187	1.46753498421183	-0.592353405614089	-0.0575427999444945	-0.649027315883877	-0.188783134357345	0.824535715349932	0.567289997826978	0.462081649073475	-0.980791347037043	0.481577393414101	0.525142401428857	0.234505720571863	-0.711941191435669	1.4575313918436	0.118163796774901	-1.05742051561938	0.218464083116101	-0.503495785050235	0.965755056875862	1.52455793079619	-0.904964502887499	-0.842345717378651	-0.486355595877357	-1.35720764957698	0.648640934071644	-0.228051835460685	0.322249403643511	-0.674885156948829	-1.1806097608013	-2.03080155840768	-1.61264020597158	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B01.dcc	9.15384112730453	-6.05269741565466	5.99982980597176	-1.28329686049191	1.3942712965814	-0.0497866719891578	2.42682099378158	2.27007159002744	3.46806644610368	-3.37538927998687	0.261471594132097	-1.1072151655443	0.574530026345968	0.708838827104669	-0.359727829798227	0.325560554754139	1.17821841586458	-1.75961363801402	0.714980049173852	-0.359320563050149	0.389114940127428	-0.538406213541337	-0.974914325382713	0.411885808113182	-0.487795582687788	-0.291446710113863	-1.46257743502393	0.0818764977644364	-0.703570462833438	0.606355992297689	-1.21501180446688	-0.561698736231348	0.00308665116549132	0.208450712775078	0.947718803127067	0.703462025003272	0.536480794740177	0.66242047148649	-1.1343965654545	0.00674483033127616	-1.00691591251959	-0.273467080728678	0.0607019057867825	0.113587057992197	-0.317960772090583	0.531308190075844	-0.375794509568429	-0.0126366222673848	0.508987029456522	0.483569030244377	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B02.dcc	11.8257683024237	-6.45039458936627	5.38056282725924	-3.14661517183601	2.24154205093734	0.782011189421848	1.34123289674346	2.42735251320854	2.77138560890416	-0.504294892506127	-0.386957687902367	0.904204219841175	-0.481662334190059	0.202576073684867	-0.412181904891816	1.16468209027501	-0.638506320903284	0.828111231981649	1.19327793478118	0.0576111515602741	-0.357083538319404	1.04490440780664	-0.521287232320194	-0.0638284401918038	-0.402523687790499	-0.131341267108436	-0.773058650768044	0.298400483935331	0.203927895509495	-0.158901846656941	-0.520783144264121	1.10420149720861	-0.34842401157222	1.35650907450177	-0.0146057557806233	0.171990907303014	1.23500573104379	0.554770250667762	1.2052256048768	0.527105563262279	0.586255902629527	0.109528747184953	-0.0758334410367684	0.13383552065023	-0.619588511238632	1.13253452267348	1.73974305175018	0.111699530233994	0.446793676473675	-0.778653995539375	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B03.dcc	13.496400750814	-6.47428259026723	6.75200073853668	-1.22090619017844	3.55413821703562	-0.34360483376788	0.759117082992544	1.83846847704342	1.96200673018156	1.10407112458984	-0.408153878782212	-0.113622770475917	-0.915411743653074	-1.53955015461409	-0.197133840910033	-1.07957422477276	-0.360223460338376	-0.0354336065302813	1.28792203678354	-0.538838376513141	0.211255525920224	0.154159493257555	-0.826138864533714	-1.41728866970059	0.647842466257984	0.0439844468698264	-0.997308287061703	-1.2017788492554	-0.141823405776126	-1.12927231087987	-0.610089218381676	-0.387608941598185	-1.74662446240394	-0.0596255776216972	0.438775495775641	-0.181156626418499	1.75920825326263	0.843669268151509	-0.37054601904021	0.211987569136901	0.807066702273541	1.4598277854999	0.381106818806669	-0.893885680465231	0.539885996256355	-0.437429808657496	1.10677439835186	-0.425162650457941	0.403905050310614	0.759617043017727	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B04.dcc	13.5130565184121	-6.85918532614278	5.24835209745439	-2.15507379665994	1.83341732820596	0.407963773434757	2.22379270693401	2.87780189934822	0.80357140077048	-0.55406657994783	-1.29520668138836	-0.180368851042333	-1.68500923435916	0.390664138572022	-1.20834483376036	-0.133637190392631	-0.886068721856065	-0.27742637322761	1.31256872264189	0.824083986679851	-0.292996625651974	0.32618303447003	1.05551571827137	0.410263380969406	-0.871325229132106	0.597114300995477	0.461877714999906	0.401298706984775	0.137713720690423	-1.0973501967223	0.0300545138941299	0.159236059383616	-0.535729329777486	-0.294859998693802	0.772007664831773	-0.526299479814234	1.19529808970553	0.979789679707622	-0.13791256202765	-0.283666636104446	0.587658413800325	1.18944716622529	-0.247380193042699	-0.305930788913622	0.847510078352345	0.843628288341375	-0.585290235416521	0.297919083785721	1.08426302730321	0.316571314262079	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B05.dcc	10.9354444738438	-6.97600130055133	6.74442635818771	-2.79818470555415	3.66077274639905	0.563577445405267	1.96126402423738	2.41775022679102	1.75737109928978	-0.386942012065704	-1.16340822930885	-0.764492037180071	0.501362098054348	0.133886801781238	-1.92137564424748	0.330258509331983	-1.48791534854334	0.86174902334078	0.734274209807156	0.632479045449955	-0.795843021551646	0.594615931389185	0.581541508317149	-0.414145705912185	-0.614397102389515	0.367097143067054	0.12974288358158	-0.448234535426971	0.127568641014292	-0.768643603500891	0.514725988778008	1.327721682766	-0.486791866922883	1.16778446420454	0.695843114453673	-0.325786474662688	-0.846573293765461	-1.4281027102747	0.695691125489923	0.107037000884129	-0.583508555136127	0.0773809036361428	-1.23217081898569	-0.568172622281546	0.133237705117744	0.965898878869246	0.741679773720535	-0.731422495152876	0.0796417478435317	-0.492155935517687	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B06.dcc	11.5272384543523	-6.9789342390611	7.5688439237738	-2.51664206540505	3.04228943883608	-0.742165107200784	1.0630010671272	2.18090932145625	0.633555864421004	1.2469768668932	0.0906357654351175	0.949391025428898	-0.964736775340618	-0.907888743211759	-0.242317575965377	-0.680395729843261	-0.186778904246168	0.251437251536457	-0.0754953123972314	-0.508665984289653	-0.47034575685677	-0.445587825884846	-0.510693807003289	-0.245291498482557	-1.24822088072397	0.32874589207781	-0.797788579079607	-0.310086502513465	0.332593116716875	-1.24723733112644	0.158020477389986	0.400752503216436	-0.816090480456226	0.576488441641989	0.931207173664269	0.639150425970115	0.18041650282836	1.16231798015656	0.531699097714506	-0.819116808807786	-0.332691637041163	0.46358469270264	-0.356392017970816	-0.200882112378585	-0.101236816064962	0.911865149819313	1.2871584937276	-0.277779078873338	-0.444502250520299	0.39453632559791	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B07.dcc	11.4954898570571	-6.77222937125593	6.17386527586539	-1.8435284758927	1.65794968199433	-0.694395610796824	1.74804009844303	2.46948723618524	1.97809667644777	0.0816815834008644	-0.237544260082785	0.329960408740627	-2.03871586804037	-0.661917178513248	-1.30762888915009	-0.337667868723605	-1.23327328452325	-0.74535250138971	0.0830313465333678	-0.201438659526255	0.488431001303797	0.232084407075807	-1.50249430287847	-0.343910596116635	-1.13710497819868	0.319105206851146	-0.357207294447299	-0.519498844552908	-0.374955303663496	-0.574544785190878	1.09021982697095	-0.140186740010375	0.897472680971827	0.437097456798595	-0.459157996442271	-0.663708820687524	-1.6999179209138	-0.618646523637403	-0.173313833962896	-0.774781558604069	-0.178460810777235	-0.0275644196589493	-0.0462114236834632	0.864395909120987	-1.16129001593745	0.494536241410502	-1.27734520494019	-0.828829442363224	0.66049409536343	0.416084174090296	DKD	Geometric Segment	Scan_01	Pt_01
